Id,Name,Description,Participation,Location,Add,Region,Town,Tel,Org,Start,End,Cycle,Noncycle,Website,Picture1,Picdescribe1,Picture2,Picdescribe2,Picture3,Picdescribe3,Px,Py,Class1,Class2,Map,Travellinginfo,Parkinginfo,Charge,Remarks
C2_315080000H_080678,2023新北市貢寮海洋音樂祭,「貢寮海洋音樂祭」起始於民國99年（西元2010年），係爲豐富新北市的海洋文化性格、建立貢寮區地方特質並發展文化觀光以鼓勵本土音樂創作之精神，選定福隆海水浴場這片黃金沙灘，藉由活動行銷新北市126公里海岸線的自然景觀旅遊資源，成功塑造貢寮為臺灣北部海洋搖滾新據點。貢寮國際海洋音樂祭即將進入第20回，所秉持的理念是鼓勵台灣本土音樂的創作，並提供獨立樂團一個專屬且不受限制的舞台，讓所有的樂團可以在這個舞台上以創作表達自我，並能擁有盡情揮灑的空間，也是讓獨立音樂人能有被看見、被欣賞及被肯定的機會。活動表演以樂團接力的方式進行，主要活動內容除了有邀請國內外知名樂團進行演出的主舞台，開放獨立樂團自由報名的小舞台與自第2屆開始舉辦重視音樂原創性及現場表演實力的「海洋獨立音樂大賞」之外，自民國107年（西元2018年）起更設立多元曲風的第三舞台，提供遊客更多元的音樂盛會。,,新北市 貢寮區,福隆里興隆街40號,新北市,貢寮區,,新北市政府,2023/09/15 00:00:00,2023/09/17 00:00:00,,,https://hohaiyan.ntpc.gov.tw/,https://www.taiwan.net.tw/att/event/203b5e61-6f91-4423-8694-f45582ff80eb.jpg,冒險台邀請國內外知名樂團帶來精采演出,https://www.taiwan.net.tw/att/event/0391b60b-4fff-4fbc-886e-1ecf9f80a161.jpg,自由台由藝術家設計打造天幕裝置藝術,https://www.taiwan.net.tw/att/event/d4a9d5cd-68d2-4049-9719-3ee59ad8cc1e.jpg,冒險台表演與熱情的觀眾,121.943158,25.021998,01,02,,,,,
C2_315080000H_080856,2023菊島澎湖跨海馬拉松,旅跑熱潮開始延燒吹動離島賽事崛起，也將成為馬拉松融入「運動觀光」及「旅跑概念」，醞釀而成為新賽點及新亮點。臺灣本島因可供舉辦馬拉松的場域有限，各縣市路跑賽事的路權取得不容易，許多賽事也多規劃為折返跑路線，唯獨澎湖國家風景區管理處所籌辦之菊島澎湖跨海馬拉松，是堪稱為外島首創的A-B點不折返、跳島、不繞圈的賽道，此賽道已於2018年取得中華民國田徑協會之國際田徑總會「IAAF/AIMS國際賽道認證」，搭配賽道沿線設置之特色美食補給及創意啦啦隊，讓跑友們更能全程以一步一腳印的方式，完整、深入體驗澎湖之美。,,澎湖縣 西嶼鄉,西嶼西臺遊客中心,澎湖縣,西嶼鄉,,交通部觀光局澎湖國家風景區管理處,2023/11/05 00:00:00,2023/11/05 00:00:00,,,https://www.facebook.com/PHCSM/,https://www.taiwan.net.tw/att/event/35317735-fbf8-4d5d-91eb-6c430ad36f8d.jpg,牛心山,https://www.taiwan.net.tw/att/event/e0727aa2-ee37-45ee-8548-e1da381cc1d3.jpg,大菓葉玄武岩,https://www.taiwan.net.tw/att/event/903655f2-5a33-46cc-a34d-959f20393ad5.jpg,澎湖跨海大橋,119.489697,23.565649,01,02,,,,,
C2_315080000H_080912,2023台灣燈會,2024台灣燈會介紹          台灣燈會已然成為臺灣代表性觀光活動，將聚焦台南獨有豐富生態、人文地理、產業發展及多元文化，各項特色意象具象化，建立臺灣觀光品牌慶典。      活動地點：台南     活動日期：2024年2月24日 ～ 3月10日交通部觀光局為能將臺灣觀光旅遊形象推廣到世界，以吸引更多國外旅客來臺旅遊，並提昇旅遊觀光外匯收入，以「民俗文化根、傳統國際化」的理念來辦理台灣燈會。元宵節提燈籠原本是傳統的民俗活動，在融合本土風情及新科技後，台灣燈會更打造出國際級觀光盛會的氣勢，不但主燈展演美不勝收，國內外民俗團體的精采獻藝，以及一波波表演團隊之熱絡表演，使得來臺參加台灣燈會的國外嘉賓及旅客都讚聲連連。民國96年（西元2007年）間美國Discovery節目製作人來臺參訪台灣燈會元宵活動，經該節目評估，台灣燈會已具世界級水準，值得向全世界推薦，因而將其評選為「全球最佳慶典活動」之一，邀請拍攝團隊特地來記錄，並製作了長達1個小時的系列節目於全球播放，向全球推薦台灣燈會的璀璨魅力。「2023台灣燈會」以在地人文、產業導入及永續發展等概念，結合科技與文化元素，打造創新、節能及永續的台灣燈會，以國家大型燈會引領節慶活動時尚潮流。「2023台灣燈會」中央展區位於國父紀念館及市府前廣場，融入創新規劃，結合花燈藝術與現代光影多媒體科技，並擴大藝術家參與的創新運作模式，使燈會成為國內外藝術家或燈藝師展現藝術創作作品的場域，提供遊客與燈會互動的旅遊體驗，短期能提升台灣燈會知名度，長期則創造台灣燈會成為一重要活動平臺，使傳統花燈製作技藝獲得傳承，並融入創意、創新元素，讓傳統與現代交互激盪，豐富民俗傳統節慶文化內涵，開創華人世界獨一無二的元宵特色活動。,,臺北市 信義區,國立國父紀念館,臺北市,信義區,,交通部觀光局、臺北市政府,2023/02/05 00:00:00,2023/02/19 00:00:00,,,,https://www.taiwan.net.tw/att/event/38312dfe-acc1-4b63-85bc-02c171cbe1a3.jpg,2023台灣燈會主燈「玉兔壯彩」,https://www.taiwan.net.tw/att/event/c8f7bcd8-c9ed-4526-a8bd-1f91185c94b4.jpg,2023台灣燈會主燈「玉兔壯彩」,https://www.taiwan.net.tw/att/event/315253fd-a1b5-4a29-b3ed-03dc52e9029b.jpg,副燈-「從心出發」,121.560023,25.041140,01,02,,,,,
C2_315080000H_080915,2023阿里山日出印象音樂會,阿里山是國內外知名觀賞日出的旅遊勝地的，「阿里山日出印象音樂會」自民國91年（西元2002年）底由交通部觀光局阿里山國家風景區管理處、農業部林業及自然保育署嘉義林區管理處及嘉義縣政府共同輪流主辦，是臺灣最具特色的高山音樂會，以高海拔、高品質、高格調的「高三」音樂會為活動目標，讓國內外遊客沉浸在悠揚樂曲中，迎接新年第一道曙光的首選活動；活動串聯大阿里山地區周邊旅遊路線，將日出印象主題特色與活動產品深化，提升觀光產值。活動時間：2023年1月1日 05:30~07:30 -->,,嘉義縣 阿里山鄉,阿里山國家森林遊樂區 祝山觀日平臺（停機坪）,南投縣,信義鄉,,嘉義縣政府、交通部觀光局阿里山國家風景區管理處、農業部林業及自然保育署嘉義林區管理處,2023/01/01 00:00:00,2023/01/01 00:00:00,,,,https://www.taiwan.net.tw/att/event/ef1bff5c-a2cd-468b-a96e-c1032ed89e87.jpg,日出印象音樂會是嘉義觀光重要的品牌活動之一，透過音樂及新年的曙光帶給大家新希望,https://www.taiwan.net.tw/att/event/4cab25e5-c129-4807-9e68-ac7969df7ee7.jpg,全台歷史最悠久的阿里山日出印象音樂會用高海拔、高水準、高格調120分鐘國家音樂廳等級的演出宣告祝山觀日平台(停機坪)再現於全台民眾之前,https://www.taiwan.net.tw/att/event/1f6846f1-8f24-4dae-ad2d-c9b3c425a8ae.jpg,金曲歌后詹雅雯、鄒族天籟安歆澐，並邀約由跨域國際指揮家江靖波帶領的樂興之時管弦樂團50人團隊跨界演出,120.823799,23.510174,01,02,,,,,
C2_315080000H_080920,2023月津港燈節,月津港燈節是臺灣眾多燈會中，唯一獲得德國紅點設計大獎、被譽為全臺最藝術、最有質感的燈節。月津港燈節以「一府、二鹿、三艋舺、四月津」的臺南鹽水月津港作為展覽場域，特色在於藉由整治完成的月津港地景環境，結合地方豐厚文化內涵與創新藝術，邀請國內外藝術團隊以當地湖面、水岸景致來襯托藝術燈飾，營造令人驚豔的獨特燈節意象，更有如孕育新銳藝術家的交流平台。活動期間，每到黃昏，五顏六色的藝術燈飾開啟時，月津港呈現一片璀璨亮麗，有如夜之美術館，照耀在河面上，遊客穿梭於河岸旁，充滿著夢幻浪漫氛圍。藉由燈區結合河面燈光倒影，將河景、地貌、建築製作而成奇幻、詩意、飄渺的空間，參觀人潮屢創新高，「月津港燈節」已形塑其活動品牌與知名度，為臺南市最重要的文化活動之一。,,臺南市 鹽水區,月津港,臺南市,鹽水區,,臺南市政府文化局,2023/01/14 00:00:00,2023/02/12 00:00:00,,,,https://www.taiwan.net.tw/att/event/1be5cf25-28ae-4588-8450-e3d0cd75bf11.jpg,燈區作品-光繪生活,https://www.taiwan.net.tw/att/event/9cffa41a-e821-4dd9-8d4d-49ef3e354443.jpg,開幕啓燈晚會歌手演唱，與作品（人魚的旋律）相互輝映,https://www.taiwan.net.tw/att/event/462ee7b2-b61d-4ed5-aeff-465750b61826.jpg,燈區作品-10x10,120.266785,23.317061,01,02,,,,,
C2_315080000H_080970,2023雞籠中元祭,雞籠中元祭起源於西元1855年，從過往地方歷史事件發展至今，為臺灣規模最大的中元祭典，不僅是臺灣歷史最悠久的民俗祭典之一，也是第一個被指定為「重要民俗」類國家文化資產的節慶。由各姓氏宗親會輪流主普，活動內容涵蓋宗教祭儀、傳承研習及周邊藝文活動，以族群融合、慎終追遠、悲天憫人、博愛普施為核心精神。,,基隆市 安樂區,老大公廟,基隆市,安樂區,,基隆市政府,2023/08/15 00:00:00,2023/09/15 00:00:00,,,,https://www.taiwan.net.tw/att/event/9c23e9f6-2266-4d45-8fde-8de6c624686f.jpg,農曆6月29日老大公廟開燈夜,https://www.taiwan.net.tw/att/event/3ad0e2ad-e987-43f5-866f-cf82b848ca18.jpg,農曆7月14日放水燈遊行,https://www.taiwan.net.tw/att/event/894b300c-c3d7-4696-944e-722e2c5a41d9.jpg,農曆7月14日望海巷施放水燈頭,121.733100,25.129070,01,02,,,,,
C2_315080000H_080971,雙年賞蝶,茂林國家風景區位於高屏山區，長久以「紫蝶幽谷」特殊景象聞名國內外，亦為綠色米其林指南推薦三星生態景點。「雙年賞蝶」是每年11月開始至隔年3月在茂林國家風景區的重頭戲，此時，會有成千上萬的紫斑蝶遠渡重洋，來到此地棲息。茂林國家風景區最引以為傲的就是擁有世界上僅有的二大規模越冬蝶谷之一。紫斑蝶為罕見越冬型蝴蝶，每年冬季時，上百萬隻紫斑蝶便會集中遷往大武山麓的山谷躲避寒冬，形成壯觀的「紫蝶幽谷」生態現象。全球各地的遊客到茂林體驗世界級紫斑蝶環繞飛舞的壯觀場景，都給予本活動廣大好評與回響。,,高雄市 茂林區,茂林生態公園,高雄市,茂林區,,交通部觀光局茂林國家風景區管理處、高雄市政府、高雄市茂林區公所,2023/10/01 00:00:00,2024/02/29 00:00:00,2023年時間未定,,,https://www.taiwan.net.tw/att/event/faced32e-2f8e-46e5-8ffd-40c55a199b04.jpg,高士佛澤蘭上的紫斑蝶,https://www.taiwan.net.tw/att/event/3d608bb3-27e4-4d4b-a720-94c6f4d826ee.jpg,越冬的紫斑蝶,https://www.taiwan.net.tw/att/event/c4b2a673-8e8b-4b2f-a3eb-85f99262ae94.jpg,蝴蝶地毯,120.663144,22.887377,01,02,,,,,
C2_315080000H_081008,2023東海岸大地藝術節暨月光・海音樂會,東海岸大地藝術節（TECLandArt Festival）是交通部觀光局東部海岸國家風景管理處於2015年開始委託專業承辦，沿著台灣東海岸各地舉辦的藝術活動，內容包括邀請藝術家駐地創作大型戶外作品，並設置在東海岸沿途風景區，稱之為「駐地創作營」。除此之外，還有沿著台11線公路開放藝術工作室、藝術市集、音樂會等，是一個以東部海岸線區域的自然環境、部落生活、棲息居住、旅行壯遊為主題的藝術節。東部海岸壯闊自然，有時優美有時狂野，有時神秘有時開放，生活在其中的人們，寂靜而自然，樸素而自由，本藝術節透過駐地創作、藝術品設置、藝術活動、完善的旅行設施，讓觀光者在公共場所中找到情境涉入與幸福感之關係，繼而產生夢想的在地生根。,,臺東縣 成功鎮,東部海岸國家風景區管理處轄區,臺東縣,成功鎮,,交通部觀光局東部海岸國家風景區管理處,2023/06/21 00:00:00,2023/09/02 00:00:00,,,https://www.teclandart.tw/zh/home/,https://www.taiwan.net.tw/att/event/7691d826-23d1-496b-97f9-88462b50efa8.jpg,達比烏蘭．古勒勒《旅人的眼睛》,https://www.taiwan.net.tw/att/event/81923f7d-c26c-4ee6-ae10-ad3a3cb7d8f5.jpg,伊祐．噶照《月亮住在海裡》,https://www.taiwan.net.tw/att/event/621141e2-7802-4b00-885c-aec3fdbbb9eb.jpg,林淑鈴《山是凝結的浪.海是流動的光》,121.324258,23.019844,01,02,,,,,
C2_315080000H_081009,2023基隆潮境海灣節,望海巷潮境海灣，範圍自環保復育公園海岬至深澳岬之海域，面積約250公頃，海灣山海景觀秀麗、生態資源豐富，具有獨特海岸地質風貌與潮間帶，每年春末至秋初時節氣候溫和宜人，相當適合各類戶外休憩活動與教育體驗。希望透過海灣節辦理各項活動，以觸發觀眾「親近海洋、認識海洋、善用海洋、善待海洋、永續海洋」，打造海灣及週邊場域變成「海洋生態體驗園區」。民國104年（西元2015年）至民國106年（西元2017年）由國立海洋科技博物館辦理三屆「Aquatopia 渥托邦-海洋狂想」海洋生活博覽會系列活動，每年吸引上萬人次參加，大受好評，已成為成北臺灣年度盛事。民國107年（西元2018年）起，由基隆市政府接繼辦理相關海灣體驗活動，延續渥托邦活動的熱潮，並與本市產、關、學、研相關單位合作，如基隆區漁會、八斗子漁村、長潭漁村、特定漁業產銷班、海科館及交通部北觀處等，擴大服務對象及新增多項親海及體驗行程，針對不同族群與海洋產生關連的方式做為切入點，推出五大「潮」活動，包括「潮海洋」、「潮音樂」「潮美食」、「潮生態」與「潮漁村」，舉凡海灣可發展之海洋運動、生態旅遊、海洋工作假期、漁村活絡、海底影像記錄、海洋音樂、海洋美食等，讓不同族群與海洋交集而留下了美好生命經驗，將透過這樣的機制，規劃寓教於樂的海洋體驗活動，吸引大眾走進基隆的海洋場域，感受海洋生活之豐富。,,基隆市 中正區,碧砂漁港,基隆市,中正區,,基隆市政府,2023/07/22 00:00:00,2023/07/22 00:00:00,2023/07/22,,,https://www.taiwan.net.tw/att/event/9cb4d0df-2b40-452b-bb44-0118d778adda.jpg,基隆潮境海灣節－潮音樂：結合在地美食、海洋風格與環保的草地音樂會，鹹鹹的海風，吹出基隆限定的幸福味道。,https://www.taiwan.net.tw/att/event/20596994-0743-4822-8721-f10135cb940f.jpg,基隆潮境海灣節－潮美食：於基隆101高地上辦理海風盛宴，海風迎面吹拂，看星光與漁火點點閃爍。,https://www.taiwan.net.tw/att/event/2121fcc8-020b-4b72-9fa8-d57727ebf8cc.jpg,基隆潮境海灣節－潮海洋：基隆國際帆船賽暨台琉國際帆船賽。,121.786290,25.147141,01,02,,,,,
C2_315080000H_081010,2023基隆潮藝術,「潮藝術」視在地居民的智慧及生活為藝術，也讓藝術成為問題性，一場與自然共生的大地藝術祭在裝點港口的同時也在呼喊著文化的認同。海風的鹹味提醒著我們並非身處美術館，而是遊走在現實生活與藝術的邊緣，探討著漁港特有的文化、歷史、知識、產物與情感，將其微分化並轉譯為方便閱覽的章節。「潮藝術」不只是個展覽，而是扭動了場域、時間、故事而後建構的如同港口的載體，承載著當地住民的記憶、來訪民眾的所見以及藝術家的想像。「潮藝術」自民國104年（西元2015年）至今將邁入第7年，從潮境公園拓張至舊正濱漁會大樓、阿根納造船場遺構，並打造了極具特色的海上美術館，透過循序漸進的主題，從海洋關懷出發，不斷鼓勵及激發民眾思考基隆與海洋、藝術與環境的關係，透過藝術重新喚起在地認同，民國109年（西元2020年）展覽首周即吸引千人進港，帶動當地觀光。,,基隆市 中正區,正濱漁港,基隆市,中正區,,基隆市政府文化局,2023/09/28 00:00:00,2023/10/15 00:00:00,,,,https://www.taiwan.net.tw/att/event/1dd3bbeb-9d40-480b-a093-aa77c21c0ee1.jpg,木罐子製作設計〈阿根納的船〉,https://www.taiwan.net.tw/att/event/dc0ec6a6-9db3-44a0-8244-177775f48bd0.jpg,Lua-Rivera〈祖母的海膽〉,https://www.taiwan.net.tw/att/event/63f35690-52c8-4827-8a63-7abd8756ef2c.jpg,Martens Visser〈HOLONS〉,121.766055,25.151951,01,02,,,,,
